indeks,datum,vrijednost
CROBIS    ,9/30/2002,100.0000
CROBIS    ,10/1/2002,100.2692
CROBIS    ,10/2/2002,100.3322
CROBIS    ,10/3/2002,100.4276
CROBIS    ,10/4/2002,100.7244
CROBIS    ,10/7/2002,100.5412
CROBIS    ,10/9/2002,100.6438
CROBIS    ,10/10/2002,100.6702
CROBIS    ,10/11/2002,100.6692
CROBIS    ,10/14/2002,101.0476
CROBIS    ,10/15/2002,100.8590
CROBIS    ,10/16/2002,100.4265
CROBIS    ,10/17/2002,100.2553
CROBIS    ,10/18/2002,100.4610
CROBIS    ,10/21/2002,100.4698
CROBIS    ,10/22/2002,100.4893
CROBIS    ,10/23/2002,100.3532
CROBIS    ,10/24/2002,100.4045
CROBIS    ,10/25/2002,100.1832
CROBIS    ,10/28/2002,100.2311
CROBIS    ,10/29/2002,100.1877
CROBIS    ,10/30/2002,100.0669
CROBIS    ,10/31/2002,99.9240
CROBIS    ,11/4/2002,100.0160
CROBIS    ,11/5/2002,100.2338
CROBIS    ,11/6/2002,99.9371
CROBIS    ,11/7/2002,99.9324
CROBIS    ,11/8/2002,99.9025
CROBIS    ,11/11/2002,99.8828
CROBIS    ,11/12/2002,100.2100
CROBIS    ,11/13/2002,100.2738
CROBIS    ,11/14/2002,100.3324
CROBIS    ,11/15/2002,100.3191
CROBIS    ,11/18/2002,100.2774
CROBIS    ,11/19/2002,100.4031
CROBIS    ,11/20/2002,100.4596
CROBIS    ,11/21/2002,100.5588
CROBIS    ,11/22/2002,100.6275
CROBIS    ,11/25/2002,100.6570
CROBIS    ,11/26/2002,100.5677
CROBIS    ,11/27/2002,100.6500
CROBIS    ,11/28/2002,100.5455
CROBIS    ,11/29/2002,100.5423
CROBIS    ,12/2/2002,100.3894
CROBIS    ,12/3/2002,100.6198
CROBIS    ,12/4/2002,99.9454
CROBIS    ,12/5/2002,99.3765
CROBIS    ,12/6/2002,100.6623
CROBIS    ,12/9/2002,100.8084
CROBIS    ,12/10/2002,100.8030
CROBIS    ,12/11/2002,100.9668
CROBIS    ,12/12/2002,101.1135
CROBIS    ,12/13/2002,101.3017
CROBIS    ,12/16/2002,101.1944
CROBIS    ,12/17/2002,101.1109
CROBIS    ,12/18/2002,101.1288
CROBIS    ,12/19/2002,101.3107
CROBIS    ,12/20/2002,101.3984
CROBIS    ,12/23/2002,101.2474
CROBIS    ,12/27/2002,101.2305
CROBIS    ,12/30/2002,101.2746
CROBIS    ,1/2/2003,101.4344
CROBIS    ,1/3/2003,101.6054
CROBIS    ,1/7/2003,101.5457
CROBIS    ,1/8/2003,101.5428
CROBIS    ,1/9/2003,101.6050
CROBIS    ,1/10/2003,101.5493
CROBIS    ,1/13/2003,101.5110
CROBIS    ,1/14/2003,101.4836
CROBIS    ,1/15/2003,101.5683
CROBIS    ,1/16/2003,101.5834
CROBIS    ,1/17/2003,101.5191
CROBIS    ,1/20/2003,101.4550
CROBIS    ,1/21/2003,101.5180
CROBIS    ,1/22/2003,101.6676
CROBIS    ,1/23/2003,101.6992
CROBIS    ,1/24/2003,101.9623
CROBIS    ,1/27/2003,101.9795
CROBIS    ,1/28/2003,101.7909
CROBIS    ,1/29/2003,101.7857
CROBIS    ,1/30/2003,101.7809
CROBIS    ,1/31/2003,101.7575
CROBIS    ,2/3/2003,101.7982
CROBIS    ,2/4/2003,101.7982
CROBIS    ,2/5/2003,101.8868
CROBIS    ,2/6/2003,101.8843
CROBIS    ,2/7/2003,101.7039
CROBIS    ,2/10/2003,101.8181
CROBIS    ,2/11/2003,101.8181
CROBIS    ,2/12/2003,101.9000
CROBIS    ,2/13/2003,101.9455
CROBIS    ,2/14/2003,101.9390
CROBIS    ,2/17/2003,101.9879
CROBIS    ,2/18/2003,101.9532
CROBIS    ,2/19/2003,102.0374
CROBIS    ,2/20/2003,102.0239
CROBIS    ,2/21/2003,101.9430
CROBIS    ,2/24/2003,101.8698
CROBIS    ,2/25/2003,101.8118
CROBIS    ,2/26/2003,101.8042
CROBIS    ,2/27/2003,101.7309
CROBIS    ,2/28/2003,101.7818
CROBIS    ,3/3/2003,101.7265
CROBIS    ,3/4/2003,101.7703
CROBIS    ,3/5/2003,101.8475
CROBIS    ,3/6/2003,101.8056
CROBIS    ,3/7/2003,101.7242
CROBIS    ,3/10/2003,101.6496
CROBIS    ,3/11/2003,101.6741
CROBIS    ,3/12/2003,101.6262
CROBIS    ,3/13/2003,101.3573
CROBIS    ,3/14/2003,101.3636
CROBIS    ,3/17/2003,101.2791
CROBIS    ,3/18/2003,100.9987
CROBIS    ,3/19/2003,100.7085
CROBIS    ,3/20/2003,100.7778
CROBIS    ,3/21/2003,100.8379
CROBIS    ,3/24/2003,100.8379
CROBIS    ,3/25/2003,101.1975
CROBIS    ,3/26/2003,101.1309
CROBIS    ,3/27/2003,100.9686
CROBIS    ,3/28/2003,100.5466
CROBIS    ,3/31/2003,100.4323
CROBIS    ,4/1/2003,100.0088
CROBIS    ,4/2/2003,99.8395
CROBIS    ,4/3/2003,99.2769
CROBIS    ,4/4/2003,98.8628
CROBIS    ,4/7/2003,98.9028
CROBIS    ,4/8/2003,99.0625
CROBIS    ,4/9/2003,99.6989
CROBIS    ,4/10/2003,100.4274
CROBIS    ,4/11/2003,100.7682
CROBIS    ,4/14/2003,100.8413
CROBIS    ,4/15/2003,101.0321
CROBIS    ,4/16/2003,100.7544
CROBIS    ,4/17/2003,100.7699
CROBIS    ,4/22/2003,100.9440
CROBIS    ,4/23/2003,101.0030
CROBIS    ,4/24/2003,100.9582
CROBIS    ,4/25/2003,101.0111
CROBIS    ,4/28/2003,101.1321
CROBIS    ,4/29/2003,101.2610
CROBIS    ,4/30/2003,100.9632
CROBIS    ,5/2/2003,101.0811
CROBIS    ,5/5/2003,101.1112
CROBIS    ,5/6/2003,101.0638
CROBIS    ,5/7/2003,101.3373
CROBIS    ,5/8/2003,101.0661
CROBIS    ,5/9/2003,101.0681
CROBIS    ,5/12/2003,100.7714
CROBIS    ,5/13/2003,100.7122
CROBIS    ,5/14/2003,100.7230
CROBIS    ,5/15/2003,100.6396
CROBIS    ,5/16/2003,100.8687
CROBIS    ,5/19/2003,100.7594
CROBIS    ,5/20/2003,100.8161
CROBIS    ,5/21/2003,100.7244
CROBIS    ,5/22/2003,101.2638
CROBIS    ,5/23/2003,101.3664
CROBIS    ,5/26/2003,101.7374
CROBIS    ,5/27/2003,101.6617
CROBIS    ,5/28/2003,101.9216
CROBIS    ,5/29/2003,102.0449
CROBIS    ,5/30/2003,102.0733
CROBIS    ,6/2/2003,101.9484
CROBIS    ,6/3/2003,102.0183
CROBIS    ,6/4/2003,102.0180
CROBIS    ,6/5/2003,102.0824
CROBIS    ,6/6/2003,102.1870
CROBIS    ,6/9/2003,102.2497
CROBIS    ,6/10/2003,102.0824
CROBIS    ,6/11/2003,102.2660
CROBIS    ,6/12/2003,102.3609
CROBIS    ,6/13/2003,102.4254
CROBIS    ,6/16/2003,102.4496
CROBIS    ,6/17/2003,102.5656
CROBIS    ,6/18/2003,102.5022
CROBIS    ,6/20/2003,102.5445
CROBIS    ,6/23/2003,102.4960
CROBIS    ,6/24/2003,102.6019
CROBIS    ,6/26/2003,102.5619
CROBIS    ,6/27/2003,102.6464
CROBIS    ,6/30/2003,102.5834
CROBIS    ,7/1/2003,102.5800
CROBIS    ,7/2/2003,102.5769
CROBIS    ,7/3/2003,102.5313
CROBIS    ,7/4/2003,102.4991
CROBIS    ,7/7/2003,102.5164
CROBIS    ,7/8/2003,102.3579
CROBIS    ,7/9/2003,102.4759
CROBIS    ,7/10/2003,102.4687
CROBIS    ,7/11/2003,102.5042
CROBIS    ,7/14/2003,102.5064
CROBIS    ,7/15/2003,102.5141
CROBIS    ,7/16/2003,102.4448
CROBIS    ,7/17/2003,102.3303
CROBIS    ,7/18/2003,102.4101
CROBIS    ,7/21/2003,102.4182
CROBIS    ,7/22/2003,102.3627
CROBIS    ,7/23/2003,102.3316
CROBIS    ,7/24/2003,102.2779
CROBIS    ,7/25/2003,102.3430
CROBIS    ,7/28/2003,102.6033
CROBIS    ,7/29/2003,102.8322
CROBIS    ,7/30/2003,102.8374
CROBIS    ,7/31/2003,102.3907
CROBIS    ,8/1/2003,102.3358
CROBIS    ,8/4/2003,102.1287
CROBIS    ,8/6/2003,102.1897
CROBIS    ,8/7/2003,102.5227
CROBIS    ,8/8/2003,102.6032
CROBIS    ,8/11/2003,102.8305
CROBIS    ,8/12/2003,102.6140
CROBIS    ,8/13/2003,102.6377
CROBIS    ,8/14/2003,101.8997
CROBIS    ,8/18/2003,101.8506
CROBIS    ,8/19/2003,101.3074
CROBIS    ,8/20/2003,101.7683
CROBIS    ,8/21/2003,102.0120
CROBIS    ,8/22/2003,101.9528
CROBIS    ,8/25/2003,101.9130
CROBIS    ,8/26/2003,101.8952
CROBIS    ,8/27/2003,101.8272
CROBIS    ,8/28/2003,101.9584
CROBIS    ,8/29/2003,102.0115
CROBIS    ,9/1/2003,102.0055
CROBIS    ,9/2/2003,101.6523
CROBIS    ,9/3/2003,101.4659
CROBIS    ,9/4/2003,101.5502
CROBIS    ,9/5/2003,101.4311
CROBIS    ,9/8/2003,101.4155
CROBIS    ,9/9/2003,101.2559
CROBIS    ,9/10/2003,101.1296
CROBIS    ,9/11/2003,101.3748
CROBIS    ,9/12/2003,101.2698
CROBIS    ,9/15/2003,101.5187
CROBIS    ,9/16/2003,101.3652
CROBIS    ,9/17/2003,101.3589
CROBIS    ,9/18/2003,101.2884
CROBIS    ,9/19/2003,101.3764
CROBIS    ,9/22/2003,101.3797
CROBIS    ,9/23/2003,101.8261
CROBIS    ,9/24/2003,101.7411
CROBIS    ,9/25/2003,101.7474
CROBIS    ,9/26/2003,101.7202
CROBIS    ,9/29/2003,101.6293
CROBIS    ,9/30/2003,101.5713
CROBIS    ,10/1/2003,101.5655
CROBIS    ,10/2/2003,101.4967
CROBIS    ,10/3/2003,101.5278
CROBIS    ,10/6/2003,101.5812
CROBIS    ,10/7/2003,101.5807
CROBIS    ,10/9/2003,101.5978
CROBIS    ,10/10/2003,101.5807
CROBIS    ,10/13/2003,101.5557
CROBIS    ,10/14/2003,101.4752
CROBIS    ,10/15/2003,101.3601
CROBIS    ,10/16/2003,101.4068
CROBIS    ,10/17/2003,101.5118
CROBIS    ,10/20/2003,101.3153
CROBIS    ,10/21/2003,101.3522
CROBIS    ,10/22/2003,101.3425
CROBIS    ,10/23/2003,101.4037
CROBIS    ,10/24/2003,101.2766
CROBIS    ,10/27/2003,101.2151
CROBIS    ,10/28/2003,101.2016
CROBIS    ,10/29/2003,101.1546
CROBIS    ,10/30/2003,101.0776
CROBIS    ,10/31/2003,101.1102
CROBIS    ,11/3/2003,101.1763
CROBIS    ,11/4/2003,101.1369
CROBIS    ,11/5/2003,101.1022
CROBIS    ,11/6/2003,101.1346
CROBIS    ,11/7/2003,100.9731
CROBIS    ,11/10/2003,101.0097
CROBIS    ,11/11/2003,101.0774
CROBIS    ,11/12/2003,100.9481
CROBIS    ,11/13/2003,100.9159
CROBIS    ,11/14/2003,100.9994
CROBIS    ,11/17/2003,100.9905
CROBIS    ,11/18/2003,101.3384
CROBIS    ,11/19/2003,101.4286
CROBIS    ,11/20/2003,101.2572
CROBIS    ,11/21/2003,100.9800
CROBIS    ,11/24/2003,100.9123
CROBIS    ,11/25/2003,100.9694
CROBIS    ,11/26/2003,100.8937
CROBIS    ,11/27/2003,100.8197
CROBIS    ,11/28/2003,100.7884
CROBIS    ,12/1/2003,100.7874
CROBIS    ,12/2/2003,100.8118
CROBIS    ,12/3/2003,100.8234
CROBIS    ,12/4/2003,100.8889
CROBIS    ,12/5/2003,100.7273
CROBIS    ,12/8/2003,100.8144
CROBIS    ,12/9/2003,100.8214
CROBIS    ,12/10/2003,100.7810
CROBIS    ,12/11/2003,100.8040
CROBIS    ,12/12/2003,100.7646
CROBIS    ,12/15/2003,100.6376
CROBIS    ,12/16/2003,100.4437
CROBIS    ,12/17/2003,100.4054
CROBIS    ,12/18/2003,100.3116
CROBIS    ,12/19/2003,100.3511
CROBIS    ,12/22/2003,100.5460
CROBIS    ,12/23/2003,100.6802
CROBIS    ,12/29/2003,100.6982
CROBIS    ,12/30/2003,100.8907
CROBIS    ,12/31/2003,101.0215
CROBIS    ,1/2/2004,100.7793
CROBIS    ,1/5/2004,100.9859
CROBIS    ,1/7/2004,101.1385
CROBIS    ,1/8/2004,101.2114
CROBIS    ,1/9/2004,101.2901
CROBIS    ,1/12/2004,101.4012
CROBIS    ,1/13/2004,101.3512
CROBIS    ,1/14/2004,101.2124
CROBIS    ,1/15/2004,101.1948
CROBIS    ,1/16/2004,101.1498
CROBIS    ,1/19/2004,101.1730
CROBIS    ,1/20/2004,101.1794
CROBIS    ,1/21/2004,100.9782
CROBIS    ,1/22/2004,100.9108
CROBIS    ,1/23/2004,100.8922
CROBIS    ,1/26/2004,100.6356
CROBIS    ,1/27/2004,100.5310
CROBIS    ,1/28/2004,100.4462
CROBIS    ,1/29/2004,100.3277
CROBIS    ,1/30/2004,100.1535
CROBIS    ,2/2/2004,100.2120
CROBIS    ,2/3/2004,100.1235
CROBIS    ,2/4/2004,99.8311
CROBIS    ,2/5/2004,99.6729
CROBIS    ,2/6/2004,99.7182
CROBIS    ,2/9/2004,100.2093
CROBIS    ,2/10/2004,100.2376
CROBIS    ,2/11/2004,100.4887
CROBIS    ,2/12/2004,100.6744
CROBIS    ,2/13/2004,100.5898
CROBIS    ,2/16/2004,100.5260
CROBIS    ,2/17/2004,100.3816
CROBIS    ,2/18/2004,99.9019
CROBIS    ,2/19/2004,100.2477
CROBIS    ,2/20/2004,100.2440
CROBIS    ,2/23/2004,100.2493
CROBIS    ,2/24/2004,100.1593
CROBIS    ,2/25/2004,100.1604
CROBIS    ,2/26/2004,99.9882
CROBIS    ,2/27/2004,99.7142
CROBIS    ,3/1/2004,99.7629
CROBIS    ,3/2/2004,99.6900
CROBIS    ,3/3/2004,99.7853
CROBIS    ,3/4/2004,99.8428
CROBIS    ,3/5/2004,100.0039
CROBIS    ,3/8/2004,100.0207
CROBIS    ,3/9/2004,99.9435
CROBIS    ,3/10/2004,100.0210
CROBIS    ,3/11/2004,100.1152
CROBIS    ,3/12/2004,100.0339
CROBIS    ,3/15/2004,99.9740
CROBIS    ,3/16/2004,99.7992
CROBIS    ,3/17/2004,99.8192
CROBIS    ,3/18/2004,99.5613
CROBIS    ,3/19/2004,99.5495
CROBIS    ,3/22/2004,99.6730
CROBIS    ,3/23/2004,99.7118
CROBIS    ,3/24/2004,99.7143
CROBIS    ,3/25/2004,99.6115
CROBIS    ,3/26/2004,99.6347
CROBIS    ,3/29/2004,99.8200
CROBIS    ,3/30/2004,99.8506
CROBIS    ,3/31/2004,99.9155
CROBIS    ,4/1/2004,99.9823
CROBIS    ,4/2/2004,100.6997
CROBIS    ,4/5/2004,100.3172
CROBIS    ,4/6/2004,99.9865
CROBIS    ,4/7/2004,99.8174
CROBIS    ,4/8/2004,99.7573
CROBIS    ,4/13/2004,99.6054
CROBIS    ,4/14/2004,99.6104
CROBIS    ,4/15/2004,99.5904
CROBIS    ,4/16/2004,99.6123
CROBIS    ,4/19/2004,99.6696
CROBIS    ,4/20/2004,100.0137
CROBIS    ,4/21/2004,100.1178
CROBIS    ,4/22/2004,100.1577
CROBIS    ,4/23/2004,100.0564
CROBIS    ,4/26/2004,99.6123
CROBIS    ,4/27/2004,99.3891
CROBIS    ,4/28/2004,99.1620
CROBIS    ,4/29/2004,98.9105
CROBIS    ,4/30/2004,98.7982
CROBIS    ,5/3/2004,98.8914
CROBIS    ,5/4/2004,98.9151
CROBIS    ,5/5/2004,98.9616
CROBIS    ,5/6/2004,98.9664
CROBIS    ,5/7/2004,99.2173
CROBIS    ,5/10/2004,99.2272
CROBIS    ,5/11/2004,99.2270
CROBIS    ,5/12/2004,99.3003
CROBIS    ,5/13/2004,99.2169
CROBIS    ,5/14/2004,99.1561
CROBIS    ,5/17/2004,99.1009
CROBIS    ,5/18/2004,99.0998
CROBIS    ,5/19/2004,98.7026
CROBIS    ,5/20/2004,98.7645
CROBIS    ,5/21/2004,98.7778
CROBIS    ,5/24/2004,98.5321
CROBIS    ,5/25/2004,98.4937
CROBIS    ,5/26/2004,98.5833
CROBIS    ,5/27/2004,98.7097
CROBIS    ,5/28/2004,98.8615
CROBIS    ,5/31/2004,98.8488
CROBIS    ,6/1/2004,98.8307
CROBIS    ,6/2/2004,98.9711
CROBIS    ,6/3/2004,98.9229
CROBIS    ,6/4/2004,98.9539
CROBIS    ,6/7/2004,99.2621
CROBIS    ,6/8/2004,99.5551
CROBIS    ,6/9/2004,99.4613
CROBIS    ,6/11/2004,99.3665
CROBIS    ,6/14/2004,99.3730
CROBIS    ,6/15/2004,99.1964
CROBIS    ,6/16/2004,99.1799
CROBIS    ,6/17/2004,99.0948
CROBIS    ,6/18/2004,99.1062
CROBIS    ,6/21/2004,99.3387
CROBIS    ,6/23/2004,99.3963
CROBIS    ,6/24/2004,99.5296
CROBIS    ,6/28/2004,99.5335
CROBIS    ,6/29/2004,99.5555
CROBIS    ,6/30/2004,99.5626
CROBIS    ,7/1/2004,99.6496
CROBIS    ,7/2/2004,100.1421
CROBIS    ,7/5/2004,100.3001
CROBIS    ,7/6/2004,100.2957
CROBIS    ,7/7/2004,100.4267
CROBIS    ,7/8/2004,100.5492
CROBIS    ,7/9/2004,100.5645
CROBIS    ,7/12/2004,100.7088
CROBIS    ,7/13/2004,100.7652
CROBIS    ,7/14/2004,100.8970
CROBIS    ,7/15/2004,100.9930
CROBIS    ,7/16/2004,101.0711
CROBIS    ,7/19/2004,100.9672
CROBIS    ,7/20/2004,100.6303
CROBIS    ,7/21/2004,100.6637
CROBIS    ,7/22/2004,100.9531
CROBIS    ,7/23/2004,100.9020
CROBIS    ,7/26/2004,100.9283
CROBIS    ,7/27/2004,100.9775
CROBIS    ,7/28/2004,101.1581
CROBIS    ,7/29/2004,101.2191
CROBIS    ,7/30/2004,101.2789
CROBIS    ,8/2/2004,101.2809
CROBIS    ,8/3/2004,100.8790
CROBIS    ,8/4/2004,100.8865
CROBIS    ,8/6/2004,101.3791
CROBIS    ,8/9/2004,101.5772
CROBIS    ,8/10/2004,101.7600
CROBIS    ,8/11/2004,101.9166
CROBIS    ,8/12/2004,101.9492
CROBIS    ,8/13/2004,101.9969
CROBIS    ,8/16/2004,102.4006
CROBIS    ,8/17/2004,102.5365
CROBIS    ,8/18/2004,102.5504
CROBIS    ,8/19/2004,102.5475
CROBIS    ,8/20/2004,102.4986
CROBIS    ,8/23/2004,102.4891
CROBIS    ,8/24/2004,102.3552
CROBIS    ,8/25/2004,102.2869
CROBIS    ,8/26/2004,102.3423
CROBIS    ,8/27/2004,102.3322
CROBIS    ,8/30/2004,102.3282
CROBIS    ,8/31/2004,101.9776
CROBIS    ,9/1/2004,101.8669
CROBIS    ,9/2/2004,101.8913
CROBIS    ,9/3/2004,101.7222
CROBIS    ,9/6/2004,101.7066
CROBIS    ,9/7/2004,101.7044
CROBIS    ,9/8/2004,101.6269
CROBIS    ,9/9/2004,101.6370
CROBIS    ,9/10/2004,101.7135
CROBIS    ,9/13/2004,101.7292
CROBIS    ,9/14/2004,101.6479
CROBIS    ,9/15/2004,101.5963
CROBIS    ,9/16/2004,101.5136
CROBIS    ,9/17/2004,101.6806
CROBIS    ,9/20/2004,101.9004
CROBIS    ,9/21/2004,102.0661
CROBIS    ,9/22/2004,102.6441
CROBIS    ,9/23/2004,102.7883
CROBIS    ,9/24/2004,102.6097
CROBIS    ,9/27/2004,102.5616
CROBIS    ,9/28/2004,102.5658
CROBIS    ,9/29/2004,102.4918
CROBIS    ,9/30/2004,102.3773
CROBIS    ,10/1/2004,102.2559
CROBIS    ,10/4/2004,102.2421
CROBIS    ,10/5/2004,102.0914
CROBIS    ,10/6/2004,101.8149
CROBIS    ,10/7/2004,101.7381
CROBIS    ,10/11/2004,101.4511
CROBIS    ,10/12/2004,101.7879
CROBIS    ,10/13/2004,102.2266
CROBIS    ,10/14/2004,102.1759
CROBIS    ,10/15/2004,102.1561
CROBIS    ,10/18/2004,101.6906
CROBIS    ,10/19/2004,101.6676
CROBIS    ,10/20/2004,101.8368
CROBIS    ,10/21/2004,101.7924
CROBIS    ,10/22/2004,101.7587
CROBIS    ,10/25/2004,101.8675
CROBIS    ,10/26/2004,101.6729
CROBIS    ,10/27/2004,101.7003
CROBIS    ,10/28/2004,101.7086
CROBIS    ,10/29/2004,101.7696
CROBIS    ,11/2/2004,101.7650
CROBIS    ,11/3/2004,101.8370
CROBIS    ,11/4/2004,102.0494
CROBIS    ,11/5/2004,102.1867
CROBIS    ,11/8/2004,102.1056
CROBIS    ,11/9/2004,102.0232
CROBIS    ,11/10/2004,102.0426
CROBIS    ,11/11/2004,102.0244
CROBIS    ,11/12/2004,102.0487
CROBIS    ,11/15/2004,102.1620
CROBIS    ,11/16/2004,102.2692
CROBIS    ,11/17/2004,102.2501
CROBIS    ,11/18/2004,102.1811
CROBIS    ,11/19/2004,102.0082
CROBIS    ,11/22/2004,102.2710
CROBIS    ,11/23/2004,102.6522
CROBIS    ,11/24/2004,102.7688
CROBIS    ,11/25/2004,103.1555
CROBIS    ,11/26/2004,102.9002
CROBIS    ,11/29/2004,102.3008
CROBIS    ,11/30/2004,102.3125
CROBIS    ,12/1/2004,102.2092
CROBIS    ,12/2/2004,102.5730
CROBIS    ,12/3/2004,102.5173
CROBIS    ,12/6/2004,102.7227
CROBIS    ,12/7/2004,102.7701
CROBIS    ,12/8/2004,102.6633
