date,open_value,high_value,low_value,last_value,turnover,symbol
2010-02-01,2201.41,2201.41,2186.13,2194.75,1954853.16,crobex
2010-02-02,2194.58,2199.24,2183.78,2193.14,2469123.19,crobex
2010-02-03,2197.51,2220.65,2197.51,2212.18,2534766.55,crobex
2010-02-04,2211.69,2217.05,2178.55,2178.55,3122354.71,crobex
2010-02-05,2178.54,2178.54,2134.31,2150.32,3325379.4,crobex
2010-02-08,2153.46,2166.6,2138.43,2147.32,1699932.74,crobex
2010-02-09,2146.9,2167.42,2128.54,2159.12,3928186.33,crobex
2010-02-10,2162.25,2175.37,2139.71,2143.71,4706695.93,crobex
2010-02-11,2143.07,2151.31,2137.99,2140.67,1742848.83,crobex
2010-02-12,2141.01,2159.88,2141.01,2145.03,1540709.56,crobex
2010-02-15,2144.75,2152.36,2140.99,2141.02,1623427.41,crobex
2010-02-16,2141.24,2158.78,2134.62,2134.69,4537870.45,crobex
2010-02-17,2134.69,2163.54,2134.69,2162.85,4342249.46,crobex
2010-02-18,2162.26,2179.66,2153.96,2171.37,2825830.53,crobex
2010-02-19,2169.66,2185.52,2165.9,2183.72,1986617.76,crobex
2010-02-22,2183.1,2186.15,2163.8,2174.74,2697281.05,crobex
2010-02-23,2170.9,2170.9,2157.18,2160.25,1258648.11,crobex
2010-02-24,2160.17,2161.64,2149.57,2160.28,1337523.23,crobex
2010-02-25,2159.67,2162.28,2139.95,2143.2,1890133.77,crobex
2010-02-26,2143.2,2145.65,2135.19,2138.12,1432324.67,crobex
2010-03-01,2139.05,2144.87,2133.34,2144.87,1524800.32,crobex
2010-03-02,2144.23,2149.45,2137.24,2149.36,1623442.18,crobex
2010-03-03,2148.6,2149.9,2112.88,2121.2,2567953.25,crobex
2010-03-04,2121.15,2126.44,2114.81,2126.26,2540250.16,crobex
2010-03-05,2126.99,2146.94,2122.47,2138.03,2656112.22,crobex
2010-03-08,2138.6,2152.69,2138.6,2139.13,3384918.17,crobex
2010-03-09,2139.5,2141.7,2122.03,2126.05,2901946.58,crobex
2010-03-10,2127.3,2145.19,2127.3,2142.59,2829984.75,crobex
2010-03-11,2142.45,2144.71,2136.8,2141.57,935841.92,crobex
2010-03-12,2142.96,2173.62,2140.53,2171.31,1829950.83,crobex
2010-03-15,2171.76,2178.42,2158.11,2171.2,2574594.03,crobex
2010-03-16,2171.11,2171.11,2158.74,2162.11,1288324.22,crobex
2010-03-17,2162.22,2168.45,2160.74,2166.46,1217425.93,crobex
2010-03-18,2166.52,2175.26,2161.6,2162.54,2555589.88,crobex
2010-03-19,2162.6,2165.88,2144.93,2151.66,2418165.17,crobex
2010-03-22,2153.14,2154.16,2126.74,2135.09,2159241.84,crobex
2010-03-23,2136.7,2149.51,2134.53,2143.58,1698652.33,crobex
2010-03-24,2143.58,2144.96,2133.57,2138.3,1638832.2,crobex
2010-03-25,2139.16,2140.74,2129.31,2140.74,1422124.71,crobex
2010-03-26,2142.11,2142.11,2125.6,2140.75,1230762.67,crobex
2010-03-29,2140.25,2140.25,2126.77,2135.19,1216933.65,crobex
2010-03-30,2133.39,2140.67,2130.19,2137.06,1384001.53,crobex
2010-03-31,2137.66,2145.57,2133.21,2142.82,1092239.29,crobex
2010-04-01,2142.45,2145.82,2135.75,2145.72,1156054.7,crobex
2010-04-06,2146.05,2162.59,2145.86,2153.99,2797556.94,crobex
2010-04-07,2154.18,2181.36,2154.18,2172.6,4309184.43,crobex
2010-04-08,2172.41,2184.52,2164.61,2169.64,2916099.08,crobex
2010-04-09,2169.64,2184.49,2169.64,2174.35,2586975.6,crobex
2010-04-12,2175.74,2175.74,2158.3,2169.71,1688020.34,crobex
2010-04-13,2170.01,2174.51,2154.94,2174.14,2354894,crobex
2010-04-14,2174.05,2185.88,2166.56,2184,4440268.82,crobex
2010-04-15,2184.05,2205.41,2181.78,2196.14,3723581.59,crobex
2010-04-16,2196.43,2198.97,2181.66,2195.01,3872017.21,crobex
2010-04-19,2195,2195,2158.02,2170.45,6489778.67,crobex
2010-04-20,2170.59,2207.99,2169.5,2206.15,3989739.31,crobex
2010-04-21,2206.5,2225.42,2206.5,2213.12,4689359.23,crobex
2010-04-22,2213.13,2213.22,2169.25,2170.88,4087510.62,crobex
2010-04-23,2170.86,2192.95,2169.63,2192.95,1842794.08,crobex
2010-04-26,2192.98,2225.99,2192.98,2215.18,4365978.48,crobex
2010-04-27,2212.12,2212.12,2196.89,2207.76,2597771.19,crobex
2010-04-28,2206.04,2206.04,2167.02,2187.35,3097470.96,crobex
2010-04-29,2187.33,2187.33,2174.23,2177.96,1863367.36,crobex
2010-04-30,2178.71,2180.45,2158.95,2161.26,2871018.71,crobex
2010-05-03,2161.26,2161.26,2142.02,2156.48,2511246.47,crobex
2010-05-04,2155.37,2157.3,2124.24,2128.17,2114525.49,crobex
2010-05-05,2127.28,2127.34,2095.76,2100.57,2336290.35,crobex
2010-05-06,2101.02,2117.42,2087.44,2089.3,1448773.58,crobex
2010-05-07,2089.48,2089.48,2046.36,2075.48,3563284.08,crobex
2010-05-10,2077.12,2125.24,2077.12,2109.45,3283598.6,crobex
2010-05-11,2096.5,2096.5,2077.9,2082.84,1542480.49,crobex
2010-05-12,2082.78,2095.41,2082.78,2095.41,1245505.37,crobex
2010-05-13,2095.17,2103.45,2081.41,2081.41,1266550.6,crobex
2010-05-14,2081.41,2087.34,2059.93,2063.36,1595020.46,crobex
2010-05-17,2064.22,2065.83,2033.39,2037.15,2121776.66,crobex
2010-05-18,2039.54,2054.47,2039.54,2052.01,2601181.63,crobex
2010-05-19,2050.81,2051.55,2028.13,2043.51,3651891.8,crobex
2010-05-20,2043.36,2043.51,2015.01,2016.3,2877418.93,crobex
2010-05-21,2016.22,2019.91,1983.7,1994.44,2974731.97,crobex
2010-05-24,1996.89,2012.48,1975.94,1983.51,1505123.82,crobex
2010-05-25,1981.98,1981.98,1932.2,1948.63,3040545.68,crobex
2010-05-26,1949.84,1981.87,1949.84,1972.95,3390751.45,crobex
2010-05-27,1971.36,1995.71,1963.55,1987.57,1854150.45,crobex
2010-05-28,1987.42,2013.51,1987.42,2002.54,1966539.65,crobex
2010-05-31,2002.54,2002.54,1973.1,1986.4,672428.13,crobex
2010-06-01,1984.68,1984.68,1964.38,1971.71,1334232.37,crobex
2010-06-02,1970.79,1970.79,1958.46,1960.2,1203800.27,crobex
2010-06-04,1960.03,1981.3,1960.03,1966.32,919229.59,crobex
2010-06-07,1965.97,1965.97,1924.91,1925.1,2212933.1,crobex
2010-06-08,1926.92,1929.6,1893.39,1903.25,2432641.02,crobex
2010-06-09,1903.25,1920.11,1888.63,1920.11,1184236.07,crobex
2010-06-10,1918.35,1936.08,1916.99,1928.67,1176783.96,crobex
2010-06-11,1929.54,1937.19,1914.2,1924.59,1501620.52,crobex
2010-06-14,1923.92,1954.48,1923.92,1954.48,1146803.76,crobex
2010-06-15,1954.31,1955.94,1943.48,1951.54,1260949.6,crobex
2010-06-16,1951.32,1959.86,1947.23,1953.51,1076786.49,crobex
2010-06-17,1953.29,1953.29,1936.98,1945.39,2211933.7,crobex
2010-06-18,1945.48,1955.68,1939.08,1947.31,951284.66,crobex
2010-06-21,1948.2,1955.5,1939.8,1941.41,815997.46,crobex
2010-06-23,1942.9,1943.44,1926.34,1939.19,1717316.77,crobex
2010-06-24,1938.69,1941.35,1927.19,1941.35,1104598.89,crobex
2010-06-28,1941.34,1941.34,1921.44,1922.96,1130829.6,crobex
2010-06-29,1922.96,1922.96,1875.12,1875.4,1565042.29,crobex
2010-06-30,1877.17,1877.17,1847.52,1855.19,2070609.19,crobex
2010-07-01,1853.12,1853.67,1831.88,1847.09,1661638.67,crobex
2010-07-02,1843.99,1846.82,1821.49,1829.49,992145.61,crobex
2010-07-05,1830.68,1833.12,1819.14,1825.95,832621.51,crobex
2010-07-06,1827.15,1833.09,1817.45,1825.16,1340584.13,crobex
2010-07-07,1824.03,1826.15,1781.86,1819.7,1756588.51,crobex
2010-07-08,1820.23,1840.06,1815.76,1836.55,1948942.87,crobex
2010-07-09,1837.05,1838.03,1810.82,1824.21,1086030.81,crobex
2010-07-12,1823.49,1823.49,1785.41,1785.41,950636.28,crobex
2010-07-13,1786.44,1814.86,1777.06,1813.27,1635609.29,crobex
2010-07-14,1812.79,1834,1806.94,1815.32,1139641.08,crobex
2010-07-15,1815.61,1846.06,1804.66,1843.69,2635784.56,crobex
2010-07-16,1843.18,1858.55,1830.41,1855.14,1701287.96,crobex
2010-07-19,1853.61,1853.94,1836.71,1848.81,2253923.33,crobex
2010-07-20,1847.93,1856.34,1835.63,1842.35,1992613.49,crobex
2010-07-21,1842.46,1853.6,1840.22,1843.06,950094.13,crobex
2010-07-22,1842.55,1848.87,1837.99,1846.08,1691200.17,crobex
2010-07-23,1846.43,1851.83,1836.66,1843.54,924624.66,crobex
2010-07-26,1842.46,1847.67,1815.71,1821.15,1133286.82,crobex
2010-07-27,1821.77,1829.38,1816.92,1828.74,912345.23,crobex
2010-07-28,1828.56,1839,1821.83,1839,1115019.77,crobex
2010-07-29,1835.66,1864.51,1835.66,1863.15,2315316.61,crobex
2010-07-30,1863.86,1866.03,1852.91,1856.55,859659.41,crobex
2010-08-02,1856.78,1869.82,1854.06,1869.82,709674.46,crobex
2010-08-03,1868.48,1876.74,1866.39,1876.57,949954.39,crobex
2010-08-04,1876.75,1877.17,1858.03,1874.63,970050.05,crobex
2010-08-09,1872.93,1877.62,1864.41,1876.95,1151515.38,crobex
2010-08-10,1876.16,1888.09,1871.85,1885.91,2035682.44,crobex
2010-08-11,1885.93,1891.06,1864.3,1870.34,1409526.79,crobex
2010-08-12,1870.36,1874.28,1851.74,1856.41,1365396.96,crobex
2010-08-13,1857.98,1858.43,1844.62,1846.08,2002020.09,crobex
2010-08-16,1845.88,1850.14,1838.68,1846.28,786077.93,crobex
2010-08-17,1843.22,1858,1842.78,1853.08,1061016.9,crobex
2010-08-18,1853.16,1867.02,1852.05,1866.28,607732.12,crobex
2010-08-19,1866.64,1875.18,1861.97,1867.41,1315314.76,crobex
2010-08-20,1868.4,1874.31,1860.14,1873.22,619603.57,crobex
2010-08-23,1872.34,1876.65,1862.16,1876.65,1635209.54,crobex
2010-08-24,1876.64,1876.64,1857.87,1860.94,1183555.77,crobex
2010-08-25,1861.01,1863.16,1841.83,1843.1,1669652.37,crobex
2010-08-26,1843.93,1852.81,1843.93,1848.46,2076383.13,crobex
2010-08-27,1847.78,1855.11,1840.98,1855.11,1301200.83,crobex
2010-08-30,1855.17,1857.12,1846.24,1852.09,807603.27,crobex
2010-08-31,1852.09,1854.19,1842.56,1848.06,713352.25,crobex
2010-09-01,1848.06,1867.05,1846.99,1864.3,2211391.37,crobex
2010-09-02,1866.46,1877.71,1866.46,1875.52,1354418.02,crobex
2010-09-03,1876.34,1890.62,1876.34,1889.71,1829652.84,crobex
2010-09-06,1889.07,1893.01,1872.84,1876.4,1795804.32,crobex
2010-09-07,1876.38,1876.51,1869.22,1869.22,950446.8,crobex
2010-09-08,1869.28,1888.33,1869.25,1888.33,1156817.72,crobex
2010-09-09,1888.35,1904.7,1885.94,1900.1,2028859.66,crobex
2010-09-10,1899.5,1911.65,1896.46,1905.97,1295548.76,crobex
2010-09-13,1905.34,1926.96,1905.34,1917.72,1599243.89,crobex
2010-09-14,1917.58,1917.58,1905.44,1908.99,1280826.33,crobex
2010-09-15,1909.56,1911.95,1904.9,1908.51,1212496.83,crobex
2010-09-16,1908.36,1911.37,1899.62,1910.46,727287.53,crobex
2010-09-17,1909.27,1912.79,1896.13,1896.13,1818072.33,crobex
2010-09-20,1896.17,1906.79,1896.17,1901.44,1096083.66,crobex
2010-09-21,1900.64,1910.06,1897.77,1907.71,1184580.7,crobex
2010-09-22,1907.22,1907.73,1894.86,1898.32,1149452.16,crobex
2010-09-23,1898.33,1899.27,1894.53,1897.53,867368.35,crobex
2010-09-24,1898.38,1906.36,1895.26,1905.29,994472.75,crobex
2010-09-27,1905.65,1914.45,1904.87,1914.42,1544751.09,crobex
2010-09-28,1914.56,1922.56,1904.67,1922.25,6348406.12,crobex
2010-09-29,1922.57,1926.97,1915.44,1923.79,1768874.54,crobex
2010-09-30,1923.18,1925.46,1903.63,1915.58,1649451.19,crobex
2010-10-01,1915.61,1921.53,1910.64,1921.53,1191980.03,crobex
2010-10-04,1921.59,1925.01,1909.69,1910.65,985519.65,crobex
